,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
0,1369,0,۳۴,0,0,1,0,میدان انقلاب,۴۴٬۱۱۷٬۰۰۰ ,0
1,۱۳۸۶,۲,۸۰,1,1,1,0,پونک,۷۰٬۰۰۰٬۰۰۰ ,۳
2,۱۳۹۳,۲,۹۲,1,1,1,0,المهدی، خیابان فکوری (خ. زیتون),۷۶٬۸۴۷٬۰۰۰ ,۴
3,۱۴۰۱,۳,۱۳۰,1,1,1,0,سهروردی,۹۰٬۰۰۰٬۰۰۰ ,۳
4,۱۳۹۹,۳,۲۳۰,1,1,1,0,نیاوران,۱۵۲٬۱۷۳٬۰۰۰ ,۶
5,۱۴۰۰,۲,۱۳۰,1,1,1,0,ولنجک,۱۴۲٬۳۰۷٬۰۰۰ ,۳
6,۱۴۰۰,۲,۹۰,1,1,1,0,جنت‌آباد مرکزی,۹۰٬۰۰۰٬۰۰۰ ,۸
7,۱۳۹۸,۳,۱۷۶,1,1,1,0,دولت‌آباد,۳۵٬۰۰۰٬۰۰۰ ,۷
8,۱۳۸۵,۳,۱۸۱,1,1,1,0,الهیه,۱۱۶٬۰۲۲٬۰۰۰ ,۵
9,۱۳۹۵,۲,۱۳۸,1,1,1,0,سعادت‌آباد,۱۰۰٬۰۰۰٬۰۰۰ ,۲
10,۱۴۰۱,۳,۱۲۰,1,1,1,0,دکتر هوشیار,۵۲٬۰۰۰٬۰۰۰ ,۴
11,۱۴۰۱,۱,۶۵,1,1,1,0,باغ فیض,۶۵٬۳۸۴٬۰۰۰ ,۱۱
12,۱۳۸۹,۱,۵۱,0,0,1,0,آذری,۲۵٬۴۹۰٬۰۰۰ ,۴
13,۱۳۹۹,۲,۱۰۷,1,1,1,0,دولت‌آباد,۴۴٬۲۰۵٬۰۰۰ ,۳
14,۱۴۰۰,۲,۹۷,1,1,1,0,دریاچه شهدای خلیج فارس,۴۹٬۴۸۴٬۰۰۰ ,۲۰
15,۱۳۸۲,۲,۱۰۰,0,1,1,0,سازمان برنامه، خیابان سازمان برنامه شمالی (ب. علامه جعفری),۵۵٬۰۰۰٬۰۰۰ ,۲
16,۱۳۷۵,۲,۸۷,0,0,0,0,توحید,۴۲٬۵۲۸٬۰۰۰ ,۳
17,۱۳۹۲,۲,۸۲,1,1,1,0,شهر زیبا,۵۶٬۰۹۷٬۰۰۰ ,۲
18,۱۳۹۴,۳,۱۶۲,1,1,1,0,ولنجک,۱۳۳٬۹۵۰٬۰۰۰ ,۴
19,۱۳۹۹,۲,۱۰۱,1,1,0,0,پیروزی,۵۲٬۴۷۵٬۰۰۰ ,۲
20,۱۴۰۱,۳,۲۰۴,1,1,1,0,اقدسیه,۱۷۶٬۴۷۰٬۰۰۰ ,۲
21,۱۳۸۶,۲,۷۴,0,1,1,0,پونک,۷۱٬۶۲۱٬۰۰۰ ,۱
22,۱۳۸۲,۲,۷۰,0,1,1,0,اباذر، خیابان استاد رحیم جدی (مقداد) (بلوار اباذر),۵۸٬۵۷۱٬۰۰۰ ,۴
23,۱۳۹۹,۲,۸۷,1,1,1,0,تهرانپارس شرقی,۱۹٬۵۴۰٬۰۰۰ ,۹
24,۱۳۹۰,۲,۹۰,1,1,1,0,هروی,۶۵٬۵۵۵٬۰۰۰ ,۴
25,۱۳۹۵,۲,۱۱۰,1,1,1,0,دریاچه شهدای خلیج فارس,۵۰٬۰۰۰٬۰۰۰ ,۸
26,۱۳۸۳,۲,۶۴,0,1,1,0,جنت‌آباد شمالی,۵۳٬۹۰۶٬۰۰۰ ,۳
27,۱۳۸۲,۲,۹۴,0,1,1,0,جنت‌آباد شمالی,۵۷٬۴۴۶٬۰۰۰ ,۱
28,۱۳۹۶,۲,۸۸,1,1,1,0,سلسبیل,۴۷٬۱۵۹٬۰۰۰ ,۴
29,۱۴۰۰,۲,۹۸,1,1,1,0,تهرانپارس شرقی,۱۵٬۰۰۰٬۰۰۰ ,۲
30,۱۳۹۵,۳,۱۳۶,1,1,1,0,سعادت‌آباد,۱۳۹٬۷۰۵٬۰۰۰ ,۵
