,Unnamed: 0,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
0,0,1369,0,34,0,0,1,0,میدان انقلاب,44117000.0,0.0
1,1,1386,2,80,1,1,1,0,پونک,70000000.0,3.0
2,2,1393,2,92,1,1,1,0,المهدی، خیابان فکوری (خ. زیتون),76847000.0,4.0
3,3,1401,3,130,1,1,1,0,سهروردی,90000000.0,3.0
4,4,1399,3,230,1,1,1,0,نیاوران,152173000.0,6.0
5,5,1400,2,130,1,1,1,0,ولنجک,142307000.0,3.0
6,6,1400,2,90,1,1,1,0,جنت‌آباد مرکزی,90000000.0,8.0
7,7,1398,3,176,1,1,1,0,دولت‌آباد,35000000.0,7.0
8,8,1385,3,181,1,1,1,0,الهیه,116022000.0,5.0
9,9,1395,2,138,1,1,1,0,سعادت‌آباد,100000000.0,2.0
10,10,1401,3,120,1,1,1,0,دکتر هوشیار,52000000.0,4.0
11,11,1401,1,65,1,1,1,0,باغ فیض,65384000.0,11.0
12,12,1389,1,51,0,0,1,0,آذری,25490000.0,4.0
13,13,1399,2,107,1,1,1,0,دولت‌آباد,44205000.0,3.0
14,14,1400,2,97,1,1,1,0,دریاچه شهدای خلیج فارس,49484000.0,20.0
15,15,1382,2,100,0,1,1,0,سازمان برنامه، خیابان سازمان برنامه شمالی (ب. علامه جعفری),55000000.0,2.0
16,16,1375,2,87,0,0,0,0,توحید,42528000.0,3.0
17,17,1392,2,82,1,1,1,0,شهر زیبا,56097000.0,2.0
18,18,1394,3,162,1,1,1,0,ولنجک,133950000.0,4.0
19,19,1399,2,101,1,1,0,0,پیروزی,52475000.0,2.0
20,20,1401,3,204,1,1,1,0,اقدسیه,176470000.0,2.0
21,21,1386,2,74,0,1,1,0,پونک,71621000.0,1.0
22,22,1382,2,70,0,1,1,0,اباذر، خیابان استاد رحیم جدی (مقداد) (بلوار اباذر),58571000.0,4.0
23,23,1399,2,87,1,1,1,0,تهرانپارس شرقی,19540000.0,9.0
24,24,1390,2,90,1,1,1,0,هروی,65555000.0,4.0
25,25,1395,2,110,1,1,1,0,دریاچه شهدای خلیج فارس,50000000.0,8.0
26,26,1383,2,64,0,1,1,0,جنت‌آباد شمالی,53906000.0,3.0
27,27,1382,2,94,0,1,1,0,جنت‌آباد شمالی,57446000.0,1.0
28,28,1396,2,88,1,1,1,0,سلسبیل,47159000.0,4.0
29,29,1400,2,98,1,1,1,0,تهرانپارس شرقی,15000000.0,2.0
30,30,1395,3,136,1,1,1,0,سعادت‌آباد,139705000.0,5.0
31,31,1382,1,40,0,0,1,0,آذربایجان,44750000.0,3.0
32,32,1397,3,135,1,1,1,0,دهکده المپیک,55000000.0,16.0
33,33,1401,2,108,1,1,1,0,اختیاریه,133000000.0,3.0
34,34,1397,3,139,1,1,1,0,گیشا (کوی نصر),68345000.0,5.0
35,35,1401,2,85,1,1,1,0,استاد معین,50588000.0,1.0
36,36,1398,2,85,1,1,1,0,حکمت,97647000.0,3.0
37,37,1383,2,65,0,0,1,0,جیحون,38769000.0,2.0
38,38,1401,3,155,1,1,1,0,گیشا (کوی نصر),96129000.0,1.0
39,39,1396,2,105,1,1,1,0,گیشا (کوی نصر),82380000.0,5.0
40,40,1401,2,170,1,1,1,0,گیشا (کوی نصر),123529000.0,3.0
41,41,1401,2,110,1,1,1,0,دریاچه شهدای خلیج فارس,39090000.0,1.0
42,42,1381,2,108,1,0,1,0,سازمان آب,50000000.0,1.0
43,43,1381,2,76,0,1,0,0,شهرک نفت (منطقه ۵),62500000.0,1.0
44,44,1386,4,261,0,1,1,1,شهرک غرب,45000000000.0,
45,45,1384,3,154,1,1,1,0,جردن,94155000.0,4.0
46,46,1401,3,126,1,1,1,0,اباذر,98000000.0,4.0
47,47,1388,2,64,0,1,1,0,پونک,67968000.0,3.0
48,48,1382,2,95,1,1,1,0,ستارخان,56315000.0,1.0
49,49,1397,2,123,1,1,1,0,دریاچه شهدای خلیج فارس,39918000.0,2.0
50,50,1401,1,90,1,1,1,0,جردن,255555000.0,3.0
51,51,1385,2,78,1,1,1,0,پونک,75641000.0,1.0
52,52,1381,2,84,0,1,1,0,پونک، بلوار میرزابابایی (بلوار سردار جنگل),68452000.0,1.0
53,53,1400,3,155,1,1,1,0,مبارک‌آباد بهشتی,16000000.0,2.0
54,54,1385,3,158,1,1,1,0,شهرک غرب,145569000.0,6.0
55,55,1392,2,65,1,1,0,0,مولوی,23846000.0,1.0
56,56,1385,3,200,1,1,1,0,نیاوران,115000000.0,5.0
57,57,1385,1,42,1,1,1,0,هاشمی,44047000.0,2.0
58,58,1380,1,33,0,0,1,0,سلیمانی,41818000.0,2.0
59,59,1393,2,64,0,1,1,0,اندیشه (شهر زیبا),23906000.0,1.0
60,60,1372,2,75,0,0,1,0,ستارخان,36666000.0,1.0
61,61,1398,1,50,1,1,1,0,مبارک‌آباد بهشتی,18500000.0,3.0
62,62,1386,2,120,1,1,1,0,سعادت‌آباد,105000000.0,5.0
63,63,1385,2,80,1,1,1,0,ستارخان، خیابان اسدی (خ. ستارخان),50000000.0,5.0
64,64,1386,3,131,1,1,1,0,دریاچه شهدای خلیج فارس,48091000.0,3.0
65,65,1401,2,92,1,1,1,0,استاد معین,38043000.0,4.0
66,66,1385,1,50,1,1,1,0,سازمان برنامه,74000000.0,1.0
67,67,1400,2,107,1,1,1,0,شهرک غرب,89719000.0,8.0
68,68,1401,2,82,1,1,1,0,میرداماد، خیابان دکتر شریعتی,116560000.0,3.0
69,69,1401,2,96,1,1,1,0,تهران‌سر,54166000.0,1.0
70,70,1401,2,95,1,1,1,0,آذربایجان,53684000.0,5.0
71,71,1397,1,41,1,1,0,0,جی,40000000.0,1.0
72,72,1401,2,102,1,1,0,0,جی,36000000.0,3.0
73,73,1394,1,52,1,0,1,0,جیحون,46153000.0,3.0
74,74,1400,2,106,1,1,1,0,مبارک‌آباد بهشتی,16839000.0,2.0
75,75,1392,2,93,0,1,1,0,زنجان,46451000.0,2.0
76,76,1401,2,115,1,1,1,0,باغ فیض، بزرگراه ستاری,79304000.0,1.0
77,77,1385,1,51,0,0,1,0,سلسبیل,36274000.0,4.0
